ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001140361-24-032293	2528411	Common Warrants		5.0		28-JUN-2024				4	P	0				50000.0				0.0		A			F1		F2	Common Stock		50000.0				50000.0				I		See footnote	F5
0001140361-24-032293	2528412	Pre-Funded Warrants		0.01		28-JUN-2024				4	P	0				50000.0				4.99		A			F3		F4	Common Stock		50000.0				50000.0				I		See footnote	F5
0001140361-24-032293	2528413	Common Warrants		5.0		28-JUN-2024				4	P	0				50000.0				0.0		A			F1		F2	Common Stock		50000.0				50000.0				I		See footnote	F5
0001731122-24-001076	2528504	Option to Purchase Stock		6.56	F4	30-JUN-2024				4	A	0				2500.0				0.0		A			F4	30-JUN-2034		Common Stock		2500.0				2500.0				D			
0001731122-24-001076	2528503	Restricted Stock Unit			F1	30-JUN-2024				4	M	0				2500.0				0.0		D			F2		F2	Common Stock		2500.0				0.0				D			
0001731122-24-001075	2528825	Option to Purchase Stock		6.56	F4	30-JUN-2024				4	A	0				2500.0				0.0		A			F4	30-JUN-2034		Common Stock		2500.0				2500.0				D			
0001731122-24-001075	2528824	Restricted Stock Unit			F1	30-JUN-2024				4	M	0				2500.0				0.0		D			F2		F2	Common Stock		2500.0				0.0				D			
0001731122-24-001074	2528915	Restricted Stock Unit			F1	30-JUN-2024				4	M	0				2500.0				0.0		D			F2		F2	Common Stock		2500.0				0.0				D			
0001731122-24-001074	2528916	Option to Purchase Stock		6.56	F4	30-JUN-2024				4	A	0				2500.0				0.0		A			F4	30-JUN-2034		Common Stock		2500.0				2500.0				D			
0001731122-24-001073	2528298	Restricted Stock Unit			F1	30-JUN-2024				4	M	0				2500.0				0.0		D			F2		F2	Common Stock		2500.0				0.0				D			
0001731122-24-001073	2528299	Option to Purchase Stock		6.56	F4	30-JUN-2024				4	A	0				2500.0				0.0		A			F4	30-JUN-2034		Common Stock		2500.0				2500.0				D			
0001140361-24-032292	2528300	Stock Option (right to buy)		34.28		28-JUN-2024				4	D	0	F1			14588.0					F5	D			F4	26-JAN-2026		Class A Common Stock		14588.0				0.0				D			
0001140361-24-032291	2528807	LTIP II Units of Apartment Income REIT, L.P.			F6	28-JUN-2024				4	D	0	F1			1311065.0					F6	D			F7		F9	Partnership Common Units		1311065.0				0.0				D			
0001140361-24-032291	2528806	LTIP Units of Apartment Income REIT, L.P.			F6	28-JUN-2024				4	D	0	F1			114768.0					F6	D			F7		F8	Partnership Common Units		114768.0				0.0				D			
0001140361-24-032291	2528808	Stock Option (right to buy)		39.0		28-JUN-2024				4	D	0	F1			127218.0					F11	D			F10	31-JAN-2027		Class A Common Stock		127218.0				0.0				D			
0001140361-24-032291	2528809	Stock Option (right to buy)		34.28		28-JUN-2024				4	D	0	F1			384809.0					F11	D			F10	26-JAN-2026		Class A Common Stock		384809.0				0.0				D			
0001140361-24-032291	2528810	Stock Option (right to buy)		34.56		28-JUN-2024				4	D	0	F1			238530.0					F11	D			F10	12-FEB-2025		Class A Common Stock		238530.0				0.0				D			
0001140361-24-032290	2528793	LTIP Units of Apartment Income REIT, L.P.			F3	28-JUN-2024				4	D	0	F1			12111.0					F3	D			F4		F5	Partnership Common Units		12111.0				0.0				D			
0001140361-24-032289	2529076	LTIP Units of Apartment Income REIT, L.P.			F3	28-JUN-2024				4	D	0	F1			12301.0					F3	D			F4		F5	Partnership Common Units		12301.0				0.0				D			
0001140361-24-032288	2528935	LTIP Units of Apartment Income REIT, L.P.			F1	28-JUN-2024				4	D	0	F2			12111.0					F1	D			F3		F4	Partnership Common Units		12111.0				0.0				D			
0001140361-24-032286	2528306	LTIP Units of Apartment Income REIT, L.P.			F3	28-JUN-2024				4	D	0	F1			12111.0					F3	D			F4		F5	Partnership Common Units		12111.0				0.0				D			
0001140361-24-032285	2528997	LTIP Units of Apartment Income REIT, L.P.			F3	28-JUN-2024				4	D	0	F1			12111.0					F3	D			F4		F5	Partnership Common Units		12111.0				0.0				D			
0001140361-24-032284	2528898	Stock Option (right to buy)		34.28		28-JUN-2024				4	D	0	F1			18109.0					F5	D			F4	26-JAN-2026		Class A Common Stock		18109.0				0.0				D			
0001140361-24-032284	2528897	Stock Option (right to buy)		39.0		28-JUN-2024				4	D	0	F1			3160.0					F5	D			F4	31-JAN-2027		Class A Common Stock		3160.0				0.0				D			
0001140361-24-032284	2528896	Stock Option (right to buy)		47.14		28-JUN-2024				4	D	0	F1			6227.0					F5	D			F4	28-JAN-2030		Class A Common Stock		6227.0				0.0				D			
0001140361-24-032282	2529250	Stock Option (right to buy)		47.14		28-JUN-2024				4	D	0	F1			14808.0					F5	D			F4	28-JAN-2030		Class A Common Stock		14808.0				0.0				D			
0001140361-24-032279	2528966	LTIP Units of Apartment Income REIT, L.P.			F3	28-JUN-2024				4	D	0	F1			4250.0					F3	D			F4		F5	Partnership Common Units		4250.0				0.0				D			
0001731122-24-001072	2528776	Stock Options		6.56		30-JUN-2024				4	A	0				2500.0				0.0		A			F2	30-JUN-2034		Common Stock		2500.0				2500.0				D			
0001731122-24-001070	2528730	Stock Options		6.56		30-JUN-2024				4	A	0				2500.0				0.0		A			F2	30-JUN-2034		Common Stock		2500.0				2500.0				D			
0000914475-24-000166	2528522	Non-Qualified Stock Option		61.82		01-JUL-2024				4	M	0				10000.0				0.0		D			F5	02-OCT-2027		Common Stock		10000.0				13532.0				D			
0001731122-24-001067	2528572	Stock Options		6.56		30-JUN-2024				4	A	0				2500.0				0.0		A			F2	30-JUN-2034		Common Stock		2500.0				2500.0				D			
0000950170-24-081026	2528651	Senior Secured Convertible Notes due 2025		0.81	F1	28-JUN-2024				4	P	false						60000.0		60000.0		A		28-JUN-2024	F2	13-NOV-2025	F3	Class A Common Stock		74257.0	F4			1536956.0	F5			D			
0000950170-24-081025	2528280	Senior Secured Convertible Notes due 2025		0.81	F1	28-JUN-2024				4	P	false						60000.0		60000.0		A		28-JUN-2024	F2	13-NOV-2025	F3	Class A Common Stock		74257.0	F4			2814012.0	F5			I		By Trust	F6
0000914475-24-000164	2528277	Non-Qualified Stock Option		79.02		01-JUL-2024				4	M	0				272.0				0.0		D			F2	31-JAN-2032		Common Stock		272.0				4354.0				D			
0000905148-24-001837	2528742	8.000% Exchangeable Senior Second-Lien Secured PIK Notes		150.94	F1	28-JUN-2024				4	P	0						2361000.0		2361000.0		A			F2	15-JUL-2029	F3	Common Stock, $0.01 par value		356366.0	F1					2361000.0		I	F10, F4	See Footnotes	F10, F4
0000905148-24-001837	2528743	8.000% Exchangeable Senior Second-Lien Secured PIK Notes		150.94	F1	28-JUN-2024				4	P	0						5581000.0		5581000.0		A			F2	15-JUL-2029	F3	Common Stock, $0.01 par value		842389.0	F1					5581000.0		I	F10, F5	See Footnotes	F10, F5
0000905148-24-001837	2528744	8.000% Exchangeable Senior Second-Lien Secured PIK Notes		150.94	F1	28-JUN-2024				4	P	0						2084000.0		2084000.0		A			F2	15-JUL-2029	F3	Common Stock, $0.01 par value		314556.0	F1					2084000.0		I	F10, F6	See Footnotes	F10, F6
0000905148-24-001837	2528746	8.000% Exchangeable Senior Second-Lien Secured PIK Notes		150.94	F1	28-JUN-2024				4	P	0						26398000.0		26398000.0		A			F2	15-JUL-2029	F3	Common Stock, $0.01 par value		3984482.0	F1					26398000.0		I	F9, F10, F8	See Footnotes	F9, F10, F8
0000905148-24-001837	2528745	8.000% Exchangeable Senior Second-Lien Secured PIK Notes		150.94	F1	28-JUN-2024				4	P	0						7080000.0		7080000.0		A			F2	15-JUL-2029	F3	Common Stock, $0.01 par value		1068646.0	F1					7080000.0		I	F7, F10	See Footnotes	F7, F10
0001415889-24-019072	2529110	Restricted Stock Unit			F1	28-JUN-2024				4	M	0				5000.0				0.0		D			F3		F3	Common Stock		5000.0				5000.0				D			
0001415889-24-019071	2528225	Restricted Stock Unit			F1	28-JUN-2024				4	M	0				37500.0				0.0		D			F6		F6	Common Stock		37500.0				37500.0				D			
0001415889-24-019070	2528714	Restricted Stock Unit			F1	28-JUN-2024				4	M	0				12500.0				0.0		D			F3		F3	Common Stock		12500.0				12500.0				D			
0001434728-24-000250	2528649	Restricted Stock Units			F2	28-JUN-2024				4	A	0				2.0				0.0		A			F3		F3	Common Stock		2.0				1019.0	F4			D			
0001434728-24-000250	2528650	Restricted Stock Units			F2	28-JUN-2024				4	M	0				118.0				0.0		D			F5		F5	Common Stock		118.0				901.0	F4			D			
0000950170-24-081021	2529141	Series B Preferred Stock			F1	28-JUN-2024				4	C	false				56.84				0.0		D			F1		F3	Common Stock		227369.24				0.0				D		By managed account	F2
0000950170-24-081021	2529146	Warrant (right to buy)			F4	28-JUN-2024				4	C	false				130607.0					F5	A		03-APR-2024		03-APR-2029		Common Stock		130607.0				130607.0				I			
0000950170-24-081021	2529142	Series B Preferred Stock			F1	28-JUN-2024				4	C	false				61.16				0.0		D			F1		F3	Common Stock		244630.76				0.0				I		By managed account	F2
0000950170-24-081021	2529145	Warrant (right to buy)			F4	28-JUN-2024				4	C	false				121392.0					F5	A		03-APR-2024		03-APR-2029		Common Stock		121392.0				121392.0				D			
0000950170-24-081021	2529144	Warrant (right to buy)			F4	28-JUN-2024				4	C	false				32.65					F5	D		03-APR-2024		03-APR-2029		Series B Preferred Stock		32.65				0.0				I			
0000950170-24-081021	2529143	Warrant (right to buy)			F4	28-JUN-2024				4	C	false				30.35					F5	D		03-APR-2024		03-APR-2029		Series B Preferred Stock		30.35				0.0				D		By managed account	F2
