ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001104659-24-088482	1666802	Series B-2 Redeemable Convertible Preferred Stock			F9				F9		F9	Common Stock		147047.0								I		Directly held by Bios Actuate Co-Invest I, LP	F1, F2, F3
0001104659-24-088482	1666803	Series B-3 Redeemable Convertible Preferred Stock			F10				F10		F10	Common Stock		101900.0								I		Directly held by Bios Fund II, LP	F1, F2, F3
0001104659-24-088482	1666804	Series B-3 Redeemable Convertible Preferred Stock			F10				F10		F10	Common Stock		332867.0								I		Directly held by Bios Fund II QP, LP	F1, F2, F3
0001104659-24-088482	1666805	Series B-3 Redeemable Convertible Preferred Stock			F10				F10		F10	Common Stock		44559.0								I		Directly held by Bios Fund II NT, LP	F1, F2, F3
0001104659-24-088482	1666806	Series B-4 Redeemable Convertible Preferred Stock			F11				F11		F11	Common Stock		309589.0								I		Directly held by Bios Fund III, LP	F1, F2, F3
0001104659-24-088482	1666807	Series B-4 Redeemable Convertible Preferred Stock			F11				F11		F11	Common Stock		2022029.0								I		Directly held by Bios Fund III QP, LP	F1, F2, F3
0001104659-24-088482	1666808	Series B-4 Redeemable Convertible Preferred Stock			F11				F11		F11	Common Stock		326547.0								I		Directly held by Bios Fund III NT, LP	F1, F2, F3
0001104659-24-088482	1666809	Series B-4 Redeemable Convertible Preferred Stock			F11				F11		F11	Common Stock		2094650.0								I		Directly held by Bios Actuate Co-Invest II, LP	F1, F2, F3
0001104659-24-088482	1666810	Series C Redeemable Convertible Preferred Stock			F12				F12		F12	Common Stock		74202.0								I		Directly held by Bios Fund III, LP	F1, F2, F3
0001104659-24-088482	1666811	Series C Redeemable Convertible Preferred Stock			F12				F12		F12	Common Stock		484638.0								I		Directly held by Bios Fund III QP, LP	F1, F2, F3
